"['USD', 'JPY', 'CAD', 'GBP', 'NZD', 'INR']",Date
"[1.2333, 132.82, 1.5544, 0.88935, 1.6941, 79.273]",2018-02-13
"[1.1416, 128.27, 1.4893, 0.88533, 1.7473, 83.6525]",2018-10-25
"[1.1296, 128.64, 1.4937, 0.87048, 1.6651, 81.674]",2018-11-14
"[1.1389, 128.37, 1.49, 0.88233, 1.7408, 83.3255]",2018-10-24
"[1.1675, 127.72, 1.5126, 0.8754, 1.6882, 79.1505]",2018-05-25
"[1.1346, 129.26, 1.4969, 0.87053, 1.6815, 82.264]",2018-11-09
"[1.1026, 119.23, 1.462, 0.88813, 1.7426, 79.147]",2019-09-17
"[1.1261, 128.32, 1.4888, 0.86945, 1.6684, 81.839]",2018-11-13
"[1.1325, 125.56, 1.4976, 0.87263, 1.6639, 80.553]",2019-02-22
"[1.1018, 117.03, 1.4679, 0.90255, 1.7343, 79.389]",2019-09-04
"[1.1759, 130.84, 1.5139, 0.8764, 1.703, 80.128]",2018-05-21
"[1.1192, 122.45, 1.5071, 0.88373, 1.7088, 77.9025]",2019-05-28
"[1.137, 122.64, 1.4928, 0.89428, 1.6996, 78.5675]",2019-06-27
"[1.1639, 128.86, 1.5342, 0.8865, 1.7315, 80.0705]",2018-07-02
"[1.1288, 121.65, 1.4749, 0.8973, 1.6888, 77.3335]",2019-07-04
"[1.1094, 120.69, 1.461, 0.8447, 1.6997, 79.0195]",2019-12-05
"[1.2276, 131.47, 1.5589, 0.88343, 1.6761, 79.8895]",2018-02-22
"[1.232, 131.6, 1.5617, 0.8782, 1.6847, 79.803]",2018-02-26
"[1.1456, 127.07, 1.5002, 0.89675, 1.7365, 78.852]",2018-08-10
"[1.1381, 127.92, 1.4917, 0.88788, 1.7401, 83.5595]",2018-10-29
"[1.1119, 120.81, 1.4645, 0.90443, 1.6796, 76.474]",2019-07-29
"[1.1053, 119.54, 1.4645, 0.8872, 1.7428, 78.707]",2019-09-18
"[1.1502, 127.01, 1.4978, 0.8974, 1.7281, 80.3015]",2018-08-21
"[1.241, 132.24, 1.5592, 0.8859, 1.682, 79.7375]",2018-02-19
"[1.1409, 129.04, 1.5144, 0.89108, 1.6686, 81.352]",2018-11-21
"[1.169, 129.8, 1.5341, 0.88855, 1.7173, 80.364]",2018-07-25
"[1.1003, 118.45, 1.4586, 0.88153, 1.7428, 78.0635]",2019-09-24
"[1.1257, 121.96, 1.507, 0.88631, 1.6943, 78.0475]",2019-06-05
"[1.1123, 124.45, 1.5023, 0.86435, 1.6884, 78.179]",2019-04-25
"[1.1234, 121.94, 1.4598, 0.8508, 1.6653, 80.187]",2019-12-31
"[1.1115, 120.15, 1.4591, 0.88963, 1.6596, 76.675]",2019-07-25
"[1.223, 135.4, 1.5194, 0.8886, 1.6808, 78.33]",2018-01-16
"[1.1648, 128.3, 1.5459, 0.87663, 1.688, 79.03]",2018-06-22
"[1.1713, 130.3, 1.5382, 0.88338, 1.7188, 80.617]",2018-07-10
"[1.2065, 135.92, 1.5114, 0.89103, 1.6957, 76.498]",2018-01-04
"[1.2023, 134.97, 1.5047, 0.8864, 1.6942, 76.3455]",2018-01-03
"[1.2168, 132.87, 1.5618, 0.871, 1.7194, 81.224]",2018-04-26
"[1.1043, 119.75, 1.4679, 0.87518, 1.7419, 78.4875]",2019-10-11
"[1.171, 130.03, 1.5128, 0.9068, 1.7444, 82.0965]",2018-08-28
"[1.1103, 118.34, 1.4729, 0.91583, 1.7296, 79.28]",2019-08-19
"[1.1354, 125.7, 1.4951, 0.86805, 1.6648, 80.7435]",2019-02-21
"[1.1173, 120.82, 1.4691, 0.8983, 1.6605, 77.015]",2019-07-23
"[1.1354, 126.63, 1.5125, 0.8628, 1.6567, 78.136]",2019-03-20
"[1.1361, 125.93, 1.5024, 0.86055, 1.652, 80.853]",2019-02-26
"[1.1587, 129.92, 1.501, 0.87593, 1.7604, 85.12]",2018-10-16
"[1.1345, 124.41, 1.505, 0.8775, 1.6779, 81.0855]",2019-02-07
"[1.1414, 126.98, 1.5459, 0.90215, 1.6925, 80.04]",2018-12-21
"[1.2421, 131.83, 1.6044, 0.89465, 1.7102, 80.898]",2018-03-08
"[1.1116, 117.67, 1.4788, 0.90808, 1.7431, 80.063]",2019-08-26
"[1.126, 124.45, 1.4959, 0.87938, 1.6432, 80.361]",2019-02-15
"[1.1773, 132.56, 1.5231, 0.89458, 1.7651, 85.5665]",2018-09-24
"[1.132, 123.09, 1.5002, 0.89085, 1.7206, 78.6155]",2019-06-11
"[1.1303, 125.89, 1.5087, 0.8588, 1.6538, 78.662]",2019-03-13
"[1.2348, 132.4, 1.5528, 0.8904, 1.6873, 79.1165]",2018-02-14
"[1.1218, 124.16, 1.5066, 0.85555, 1.6509, 77.7765]",2019-03-28
"[1.1271, 125.97, 1.5131, 0.8588, 1.6631, 78.884]",2019-03-07
"[1.0951, 117.17, 1.4606, 0.8879, 1.7421, 77.7155]",2019-10-03
"[1.1305, 126.4, 1.5128, 0.8597, 1.6679, 79.432]",2019-03-06
"[1.1377, 127.86, 1.5249, 0.89715, 1.6556, 80.253]",2018-12-18
"[1.1279, 125.38, 1.5032, 0.86083, 1.6697, 77.9945]",2019-04-10
"[1.1075, 121.18, 1.4577, 0.85708, 1.6732, 78.9455]",2019-12-23
"[1.1765, 129.57, 1.515, 0.87683, 1.6702, 78.731]",2018-06-06
"[1.1341, 128.44, 1.5189, 0.8989, 1.6668, 81.213]",2018-12-17
"[1.1167, 122.67, 1.5, 0.8762, 1.7071, 77.786]",2019-05-20
"[1.1609, 129.03, 1.5175, 0.90158, 1.7565, 82.6735]",2018-09-03
"[1.2185, 133.03, 1.5704, 0.8738, 1.7232, 81.6095]",2018-04-25
"[1.1692, 130.32, 1.5117, 0.89758, 1.7534, 82.715]",2018-08-30
"[1.1689, 130.75, 1.5206, 0.89228, 1.7778, 83.946]",2018-09-14
"[1.1769, 131.98, 1.5174, 0.8859, 1.7643, 84.751]",2018-09-20
"[1.226, 131.26, 1.5659, 0.87395, 1.6799, 79.601]",2018-04-05
"[1.1558, 125.88, 1.5058, 0.87143, 1.6711, 78.406]",2018-05-29
"[1.1193, 122.91, 1.5093, 0.8612, 1.7015, 78.3435]",2019-05-09
"[1.1305, 126.59, 1.511, 0.8639, 1.6713, 78.6445]",2019-04-16
"[1.1226, 120.93, 1.4655, 0.89635, 1.6582, 77.2545]",2019-07-19
"[1.1194, 117.69, 1.4807, 0.92615, 1.7352, 79.746]",2019-08-12
"[1.1346, 128.37, 1.4955, 0.8835, 1.6653, 81.5735]",2018-11-16
"[1.1371, 129.06, 1.5193, 0.89848, 1.6564, 81.428]",2018-12-13
"[1.1321, 126.76, 1.5082, 0.8629, 1.6748, 78.2915]",2019-04-12
"[1.1083, 118.13, 1.4722, 0.9115, 1.738, 79.589]",2019-08-22
"[1.2417, 131.41, 1.6056, 0.89513, 1.7063, 80.578]",2018-03-07
"[1.1665, 129.09, 1.5344, 0.8835, 1.7281, 79.931]",2018-07-03
"[1.1578, 127.39, 1.5398, 0.87878, 1.6853, 78.86]",2018-06-20
"[1.1777, 132.78, 1.5262, 0.89425, 1.7696, 85.6125]",2018-09-25
"[1.2299, 131.28, 1.5614, 0.8794, 1.6864, 79.6515]",2018-02-23
"[1.1421, 128.34, 1.5071, 0.88908, 1.6683, 81.65]",2018-11-20
"[1.1153, 122.23, 1.4592, 0.8513, 1.6655, 79.637]",2019-12-27
"[1.0982, 120.43, 1.4614, 0.85225, 1.709, 78.6875]",2019-11-29
"[1.234, 132.25, 1.5553, 0.88168, 1.6782, 80.003]",2018-02-20
"[1.1562, 128.6, 1.5234, 0.90058, 1.7649, 82.7665]",2018-09-04
"[1.2493, 133.11, 1.5604, 0.8866, 1.6909, 79.849]",2018-02-15
"[1.1005, 120.5, 1.4625, 0.8518, 1.7136, 78.8095]",2019-11-28
"[1.1245, 123.06, 1.5117, 0.8635, 1.7087, 79.342]",2019-05-13
"[1.125, 125.86, 1.5065, 0.8647, 1.6819, 78.068]",2019-04-18
"[1.1328, 128.66, 1.5018, 0.88748, 1.6647, 80.162]",2018-11-27
"[1.1616, 128.08, 1.5126, 0.89928, 1.7319, 81.19]",2018-08-22
"[1.0938, 117.73, 1.4482, 0.88505, 1.7315, 77.56]",2019-09-26
"[1.1307, 121.71, 1.4886, 0.89155, 1.7158, 78.5065]",2019-06-20
"[1.2323, 132.04, 1.5517, 0.86745, 1.67, 80.417]",2018-04-12
"[1.1576, 131.23, 1.5064, 0.8873, 1.7505, 83.916]",2018-09-28
"[1.1794, 130.7, 1.5066, 0.87688, 1.6991, 80.2105]",2018-05-22
"[1.1543, 128.68, 1.5032, 0.8928, 1.7154, 79.49]",2018-08-06
"[1.2317, 132.64, 1.5482, 0.864, 1.6703, 80.316]",2018-04-13
"[1.1571, 128.54, 1.5268, 0.8934, 1.7706, 83.8375]",2018-09-10
"[1.1133, 124.45, 1.502, 0.8634, 1.6739, 77.9495]",2019-04-26
"[1.1708, 128.61, 1.5109, 0.87953, 1.6977, 80.1055]",2018-05-23
"[1.1345, 127.13, 1.4916, 0.8868, 1.7535, 83.34]",2018-10-26
"[1.1588, 128.97, 1.5143, 0.902, 1.7384, 81.0115]",2018-08-24
"[1.2338, 134.84, 1.5445, 0.88675, 1.6897, 79.2655]",2018-02-07
"[1.1424, 124.02, 1.5154, 0.89025, 1.6757, 81.231]",2019-01-15
"[1.1394, 125.05, 1.502, 0.8787, 1.6619, 81.5535]",2019-02-06
"[1.1185, 123.73, 1.5065, 0.85645, 1.6957, 77.64]",2019-05-07
"[1.2329, 134.97, 1.5488, 0.88885, 1.6955, 79.2415]",2018-02-06
"[1.1467, 123.93, 1.5226, 0.89263, 1.682, 81.2195]",2019-01-14
"[1.2411, 131.84, 1.5993, 0.89165, 1.6985, 80.5845]",2018-03-06
"[1.1027, 118.01, 1.4583, 0.89635, 1.7208, 79.0805]",2019-09-06
"[1.1409, 128.68, 1.5031, 0.89058, 1.6406, 80.472]",2018-12-04
"[1.1106, 118.57, 1.4698, 0.91505, 1.7026, 77.34]",2019-08-02
"[1.1253, 121.83, 1.4667, 0.89788, 1.6871, 77.242]",2019-07-12
"[1.2302, 131.04, 1.5782, 0.8859, 1.6854, 79.9785]",2018-03-12
"[1.1355, 125.75, 1.4924, 0.86828, 1.647, 80.5315]",2019-02-25
"[1.1284, 128.47, 1.5036, 0.88245, 1.6613, 79.643]",2018-11-28
"[1.1139, 122.56, 1.5, 0.881, 1.7155, 77.915]",2019-05-23
"[1.1139, 120.43, 1.4682, 0.86008, 1.7326, 78.816]",2019-11-01
"[1.1174, 122.43, 1.4712, 0.83508, 1.6873, 79.061]",2019-12-13
"[1.144, 124.46, 1.5208, 0.89743, 1.7023, 80.245]",2019-01-08
"[1.2308, 130.76, 1.5818, 0.87523, 1.6964, 80.014]",2018-04-03
"[1.1187, 121.08, 1.5016, 0.89403, 1.7192, 78.0005]",2019-06-18
"[1.1574, 128.82, 1.5231, 0.89068, 1.7773, 84.0965]",2018-09-11
"[1.1543, 131.46, 1.4795, 0.89043, 1.7523, 84.7]",2018-10-02
"[1.1245, 125.82, 1.5057, 0.8645, 1.6889, 78.3125]",2019-04-23
"[1.1295, 126.09, 1.5074, 0.85228, 1.6585, 78.473]",2019-03-14
"[1.1424, 129.9, 1.4972, 0.87163, 1.6838, 82.7195]",2018-11-08
"[1.1341, 124.43, 1.516, 0.87085, 1.6731, 80.656]",2019-01-24
"[1.1377, 126.14, 1.55, 0.90073, 1.6964, 79.9445]",2018-12-27
"[1.1321, 125.67, 1.4833, 0.8913, 1.7267, 79.1635]",2018-08-15
"[1.1207, 121.49, 1.499, 0.8902, 1.7173, 78.0755]",2019-06-19
"[1.1061, 120.55, 1.4622, 0.8533, 1.7275, 79.426]",2019-11-18
"[1.1644, 127.33, 1.5114, 0.87465, 1.6756, 78.528]",2018-05-28
"[1.1183, 122.24, 1.5075, 0.8682, 1.7067, 78.6785]",2019-05-15
"[1.1308, 126.16, 1.5118, 0.85415, 1.6532, 78.074]",2019-03-15
"[1.1588, 130.98, 1.5351, 0.89298, 1.7229, 80.0155]",2018-07-19
"[1.1397, 124.28, 1.5547, 0.90165, 1.7049, 79.9855]",2019-01-02
"[1.1658, 131.13, 1.5369, 0.88263, 1.724, 79.8805]",2018-07-12
"[1.1709, 129.53, 1.5374, 0.8831, 1.7256, 80.73]",2018-07-05
"[1.2301, 130.21, 1.6087, 0.88253, 1.7002, 79.867]",2018-03-16
"[1.2301, 131.77, 1.5647, 0.884, 1.6918, 79.803]",2018-02-27
"[1.1789, 130.21, 1.5415, 0.88345, 1.7198, 80.9585]",2018-07-09
"[1.1759, 132.44, 1.5197, 0.894, 1.7606, 84.8905]",2018-09-21
"[1.0997, 119.49, 1.4588, 0.85643, 1.7223, 79.1]",2019-11-14
"[1.1156, 121.91, 1.5065, 0.88225, 1.7106, 77.8925]",2019-05-29
"[1.2376, 131.04, 1.5949, 0.8794, 1.7041, 80.413]",2018-03-27
"[1.2304, 131.66, 1.5726, 0.87088, 1.6871, 79.9545]",2018-04-09
"[1.2464, 132.34, 1.5587, 0.88803, 1.6853, 80.044]",2018-02-16
"[1.153, 129.43, 1.4957, 0.87945, 1.7563, 84.8915]",2018-10-17
"[1.1071, 120.39, 1.4747, 0.852, 1.7, 79.43]",2019-12-03
"[1.1402, 124.78, 1.5134, 0.88125, 1.6841, 81.0875]",2019-01-18
"[1.2249, 135.35, 1.5289, 0.8783, 1.6722, 78.118]",2018-01-23
"[1.1696, 130.81, 1.5231, 0.8904, 1.7187, 79.9705]",2018-08-01
"[1.1097, 121.31, 1.4579, 0.85133, 1.6811, 79.0035]",2019-12-20
"[1.115, 118.37, 1.4841, 0.91863, 1.7311, 79.5205]",2019-08-15
"[1.1329, 126.8, 1.5116, 0.86358, 1.6682, 79.936]",2019-03-05
"[1.1161, 123.27, 1.4966, 0.8761, 1.7142, 77.783]",2019-05-21
"[1.2357, 132.35, 1.5511, 0.8628, 1.6837, 81.108]",2018-04-17
"[1.145, 125.85, 1.5605, 0.89453, 1.7056, 79.7298]",2018-12-31
"[1.1548, 131.47, 1.482, 0.88895, 1.7617, 84.717]",2018-10-03
"[1.1581, 129.53, 1.5085, 0.88045, 1.7723, 85.4735]",2018-10-15
"[1.1724, 129.65, 1.5397, 0.88595, 1.7186, 80.746]",2018-07-06
"[1.2213, 132.92, 1.5662, 0.87468, 1.7134, 81.0765]",2018-04-24
"[1.1154, 121.0, 1.4691, 0.91653, 1.6855, 76.7575]",2019-07-30
"[1.1198, 122.56, 1.5061, 0.88225, 1.7107, 77.8585]",2019-05-27
"[1.1202, 123.31, 1.5074, 0.86095, 1.6993, 78.0805]",2019-05-08
"[1.1471, 124.91, 1.5075, 0.87888, 1.6567, 81.771]",2019-02-01
"[1.1988, 131.27, 1.5301, 0.8824, 1.7246, 80.9545]",2018-05-14
"[1.1067, 119.46, 1.4686, 0.88735, 1.7536, 78.9335]",2019-09-19
"[1.1293, 121.61, 1.4794, 0.8975, 1.6883, 77.747]",2019-07-03
"[1.1488, 124.81, 1.5109, 0.87578, 1.6607, 81.686]",2019-01-31
"[1.1301, 126.51, 1.507, 0.86593, 1.6784, 78.457]",2019-04-17
"[1.1451, 127.94, 1.5424, 0.90335, 1.6884, 79.949]",2018-12-20
"[1.1107, 120.59, 1.4511, 0.86598, 1.7456, 78.7515]",2019-10-25
"[1.1104, 118.24, 1.4761, 0.91545, 1.7308, 79.4655]",2019-08-21
"[1.1429, 125.08, 1.5111, 0.87341, 1.6723, 81.351]",2019-01-30
"[1.1305, 125.19, 1.4972, 0.87553, 1.6596, 80.066]",2019-02-13
"[1.1323, 122.72, 1.5059, 0.88805, 1.7206, 78.491]",2019-06-12
"[1.0993, 117.44, 1.4633, 0.89155, 1.7452, 78.0435]",2019-10-07
"[1.1031, 118.96, 1.4619, 0.8851, 1.7324, 78.9825]",2019-09-16
"[1.1613, 128.27, 1.5307, 0.87655, 1.6712, 79.0145]",2018-06-18
"[1.1123, 120.63, 1.4558, 0.86408, 1.7361, 78.8245]",2019-10-23
"[1.1075, 120.44, 1.4661, 0.84245, 1.6924, 78.4115]",2019-12-11
"[1.2346, 129.74, 1.5868, 0.87285, 1.7024, 80.255]",2018-03-23
"[1.1506, 131.03, 1.4862, 0.88165, 1.7784, 84.8835]",2018-10-05
"[1.1091, 120.46, 1.4759, 0.85548, 1.7239, 79.5675]",2019-11-21
"[1.1606, 132.25, 1.4867, 0.89078, 1.7572, 84.6215]",2018-10-01
"[1.2137, 134.88, 1.5194, 0.88983, 1.6726, 77.1915]",2018-01-12
"[1.1788, 130.03, 1.5335, 0.88175, 1.6781, 79.5015]",2018-06-12
"[1.1445, 123.9, 1.5281, 0.8972, 1.6925, 79.6895]",2019-01-07
"[1.1902, 130.15, 1.5338, 0.8801, 1.7013, 79.904]",2018-05-07
"[1.1372, 128.28, 1.4941, 0.89148, 1.7349, 83.728]",2018-10-30
"[1.1445, 125.77, 1.5011, 0.87678, 1.6634, 82.1905]",2019-02-04
"[1.1222, 118.01, 1.4889, 0.9283, 1.7417, 80.1865]",2019-08-13
"[1.1289, 122.44, 1.5021, 0.88948, 1.7201, 78.4745]",2019-06-13
"[1.2309, 130.65, 1.6105, 0.87593, 1.7066, 80.2455]",2018-03-19
"[1.244, 136.67, 1.5468, 0.88568, 1.7025, 79.7435]",2018-02-05
"[1.1033, 118.01, 1.4515, 0.89275, 1.7129, 79.0815]",2019-09-09
"[1.123, 123.25, 1.5132, 0.8625, 1.7025, 78.6075]",2019-05-10
"[1.1764, 130.03, 1.5313, 0.8821, 1.6713, 79.534]",2018-06-13
"[1.1209, 125.34, 1.5078, 0.86545, 1.6922, 78.295]",2019-04-24
"[1.1104, 117.43, 1.4689, 0.90435, 1.7415, 79.4225]",2019-08-27
"[1.1367, 124.7, 1.5132, 0.87213, 1.6741, 81.0535]",2019-01-23
"[1.1037, 120.18, 1.4602, 0.9115, 1.6856, 76.272]",2019-08-01
"[1.2263, 133.23, 1.5427, 0.886, 1.6918, 78.894]",2018-02-12
"[1.0963, 118.14, 1.4468, 0.8892, 1.7032, 77.998]",2019-09-12
"[1.115, 124.64, 1.5028, 0.8634, 1.673, 77.8635]",2019-04-29
"[1.1667, 130.94, 1.5136, 0.88813, 1.7684, 84.4515]",2018-09-19
"[1.1352, 128.07, 1.5019, 0.8848, 1.6747, 80.204]",2018-11-23
"[1.1337, 126.91, 1.5092, 0.85775, 1.666, 80.363]",2019-03-04
"[1.1422, 125.03, 1.5142, 0.86735, 1.6694, 81.306]",2019-01-29
"[1.17, 128.21, 1.5542, 0.8804, 1.6947, 79.645]",2018-06-25
"[1.1348, 122.21, 1.5392, 0.90312, 1.7085, 79.608]",2019-01-03
"[1.2007, 131.84, 1.5401, 0.8804, 1.7103, 80.0455]",2018-05-02
"[1.2045, 136.45, 1.5068, 0.88883, 1.6837, 76.329]",2018-01-05
"[1.1383, 127.35, 1.4971, 0.85968, 1.6656, 80.695]",2019-03-01
"[1.1202, 118.48, 1.492, 0.92353, 1.7411, 79.402]",2019-08-07
"[1.1737, 128.44, 1.5148, 0.87673, 1.6654, 78.712]",2018-06-04
"[1.1162, 122.31, 1.469, 0.84748, 1.6974, 79.2035]",2019-12-17
"[1.1396, 123.95, 1.5153, 0.8826, 1.6895, 80.9765]",2019-01-17
"[1.1425, 128.79, 1.5218, 0.90245, 1.6581, 82.7284]",2018-12-10
"[1.2421, 134.98, 1.5304, 0.8793, 1.6937, 79.057]",2018-01-30
"[1.1077, 120.9, 1.4585, 0.86442, 1.7383, 78.549]",2019-11-07
"[1.2457, 135.6, 1.529, 0.8791, 1.6803, 79.18]",2018-01-31
"[1.1534, 126.78, 1.5319, 0.87693, 1.6747, 78.867]",2018-06-19
"[1.1223, 121.13, 1.4643, 0.9026, 1.6693, 77.087]",2019-07-16
"[1.1454, 126.4, 1.5602, 0.90273, 1.706, 80.2255]",2018-12-28
"[1.2407, 135.12, 1.5289, 0.87038, 1.6823, 78.865]",2018-01-25
"[1.1575, 130.0, 1.5102, 0.8749, 1.7852, 85.7615]",2018-10-11
"[1.1244, 124.91, 1.5093, 0.8624, 1.6492, 78.547]",2019-03-11
"[1.1754, 128.64, 1.5274, 0.87733, 1.6734, 79.342]",2018-06-08
"[1.1672, 127.95, 1.5549, 0.8816, 1.6998, 79.7095]",2018-06-26
"[1.2309, 132.41, 1.5557, 0.87608, 1.7032, 81.39]",2018-04-20
"[1.2277, 135.81, 1.5263, 0.89043, 1.6828, 77.9805]",2018-01-15
"[1.1423, 125.59, 1.4996, 0.87803, 1.6556, 81.8395]",2019-02-05
"[1.1633, 129.16, 1.5182, 0.90365, 1.7415, 81.623]",2018-08-27
"[1.179, 129.62, 1.5348, 0.8818, 1.6764, 79.498]",2018-06-11
"[1.1588, 129.3, 1.5085, 0.8905, 1.717, 79.512]",2018-08-03
"[1.1478, 130.11, 1.4915, 0.8801, 1.7795, 85.008]",2018-10-08
"[1.2235, 136.07, 1.5229, 0.88208, 1.6759, 78.121]",2018-01-18
"[1.1346, 128.67, 1.517, 0.90135, 1.6573, 81.69]",2018-12-12
"[1.0985, 118.07, 1.4586, 0.88343, 1.7514, 77.9405]",2019-09-23
"[1.1416, 126.44, 1.5042, 0.85835, 1.6685, 80.8915]",2019-02-28
"[1.1158, 120.93, 1.468, 0.86368, 1.7358, 78.9205]",2019-11-04
"[1.2361, 132.28, 1.5645, 0.87183, 1.6806, 80.3375]",2018-04-10
"[1.2273, 133.59, 1.5475, 0.8874, 1.6952, 79.0045]",2018-02-09
"[1.1285, 121.94, 1.4735, 0.8979, 1.6889, 77.1495]",2019-07-11
"[1.2234, 131.32, 1.565, 0.87295, 1.6884, 79.481]",2018-04-06
"[1.2252, 134.31, 1.5402, 0.87513, 1.6966, 78.7715]",2018-02-08
"[1.1371, 128.36, 1.523, 0.89085, 1.6558, 80.509]",2018-12-07
"[1.2398, 131.6, 1.5974, 0.87605, 1.7075, 80.8005]",2018-03-28
"[1.1675, 128.08, 1.5158, 0.8739, 1.6636, 78.3975]",2018-06-05
"[1.173, 129.15, 1.5222, 0.87683, 1.6656, 79.2925]",2018-06-14
"[1.1349, 126.54, 1.5134, 0.8566, 1.6537, 77.781]",2019-03-18
"[1.1669, 127.74, 1.5142, 0.8768, 1.6737, 78.314]",2018-06-01
"[1.1934, 130.44, 1.5197, 0.88, 1.711, 80.36]",2018-05-11
"[1.1342, 125.61, 1.4956, 0.86945, 1.6513, 80.7035]",2019-02-20
"[1.1134, 122.1, 1.5029, 0.88178, 1.7095, 77.8115]",2019-05-30
"[1.1642, 128.64, 1.5306, 0.88108, 1.7217, 80.027]",2018-07-04
"[1.2352, 135.13, 1.5229, 0.87183, 1.6677, 78.673]",2018-01-24
"[1.1226, 123.0, 1.5117, 0.86723, 1.7056, 79.0375]",2019-05-14
"[1.1332, 128.7, 1.4931, 0.8915, 1.6376, 79.791]",2018-12-03
"[1.1625, 129.25, 1.5193, 0.88823, 1.7179, 79.8465]",2018-07-27
"[1.1728, 128.46, 1.5111, 0.87475, 1.6946, 80.193]",2018-05-24
"[1.1671, 130.79, 1.5193, 0.88875, 1.7742, 84.6355]",2018-09-17
"[1.1313, 126.66, 1.506, 0.86305, 1.6729, 78.5405]",2019-04-15
"[1.1218, 124.93, 1.5075, 0.86248, 1.6805, 78.0615]",2019-04-30
"[1.1199, 124.13, 1.5095, 0.8547, 1.6936, 77.7325]",2019-05-06
"[1.2238, 132.38, 1.5649, 0.8764, 1.7052, 81.2845]",2018-04-23
"[1.1072, 117.68, 1.4699, 0.90531, 1.7457, 79.3415]",2019-08-29
"[1.113, 120.87, 1.4581, 0.86065, 1.7358, 78.9245]",2019-10-22
"[1.0981, 117.91, 1.4607, 0.8985, 1.7381, 78.034]",2019-10-09
"[1.122, 122.2, 1.4713, 0.89928, 1.6997, 76.951]",2019-07-10
"[1.1351, 128.04, 1.5229, 0.8893, 1.6517, 80.495]",2018-12-06
"[1.1406, 126.42, 1.4909, 0.893, 1.7277, 79.7315]",2018-08-14
"[1.2384, 132.26, 1.5625, 0.8736, 1.6812, 80.8735]",2018-04-11
"[1.1716, 129.91, 1.5287, 0.8886, 1.7186, 80.448]",2018-07-26
"[1.2459, 136.62, 1.5348, 0.8752, 1.6944, 79.766]",2018-02-01
"[1.1651, 129.05, 1.5192, 0.8974, 1.7559, 82.7245]",2018-08-31
"[1.1215, 121.42, 1.4654, 0.9034, 1.6679, 77.2335]",2019-07-17
"[1.1154, 120.73, 1.4673, 0.86133, 1.7359, 79.1125]",2019-10-31
"[1.1015, 120.24, 1.4588, 0.8582, 1.7382, 78.969]",2019-11-12
"[1.1502, 131.31, 1.48, 0.8858, 1.7706, 84.628]",2018-10-04
"[1.0968, 116.66, 1.4632, 0.9082, 1.7396, 78.892]",2019-09-02
"[1.1379, 128.75, 1.5239, 0.90228, 1.6526, 81.8215]",2018-12-11
"[1.2286, 130.5, 1.5947, 0.87403, 1.7158, 80.117]",2018-03-21
"[1.1346, 124.72, 1.5107, 0.8658, 1.672, 80.634]",2019-01-25
"[1.109, 120.88, 1.4599, 0.86033, 1.7385, 78.6855]",2019-11-06
